Japanese,English
会う,meet
青い,blue
赤い,red
明るい,bright
秋,autumn
開く,open
開ける,Open
上げる,increase
朝,morning
朝御飯,Breakfast
あさって,In a moment
足,legs
明日,tomorrow
あそこ,over there
遊ぶ,play
暖かい,warm
頭,Head
新しい,new
あちら,there
暑い,hot
熱い,hot
厚い,thick
あっち,There
後,rear
あなた,you
兄,older brother
姉,sister
あの,that
アパート,Apartment
あびる,Ardor
危ない,Dangerous
甘い,sweet
あまり,not much
雨,rain
飴,candy
洗う,wash
ある,be
歩く,walk
あれ,that
いい / よい,Good
いいえ,no
言う,To tell
家,House
いかが,How
行く,go
いくつ,How many
いくら,How much
池,pond
医者,doctor
いす,Chair
忙しい,busy
痛い,pain
一,one
一日,one day
いちばん,number one
いつ,when
五日,Five days
一緒,together
五つ,Five
いつも,everytime
犬,dog
今,now
意味,meaning
妹,younger sister
嫌,Disgusting
入口,entrance
居る,Be
要る,need
入れる,put in
色,colour
いろいろ,various
上,Up
後ろ,behind
薄い,thin
歌,song
歌う,sing
生まれる,to be born
海,Ocean
売る,sell
煩い,You are bothering me
上着,Jacket
絵,picture
映画,movie
映画館,movie theatre
英語,English
駅,station
エレベーター,Elevator
鉛筆,pencil
おいしい,delicious
多い,many
大きい,big
大勢,in great numbers
お母さん,mother
お菓子,snack
お金,money
起きる,get up
置く,put
奥さん,Wife
お酒,sake
お皿,The dishes
伯父 / 叔父,Uncle
教える,teach
伯父 / 叔父,Uncle / Uncle
押す,push
遅い,slow
お茶,tea
お手洗い,Bathroom
お父さん,father
弟,younger brother
男,Man
男の子,boy
一昨日,day before yesterday
一昨年,Two years ago
大人,adult
おなか,stomach
同じ,same
お兄さん,brother
お姉さん,older sister
おばあさん,Grandmother
伯母さん / 叔母さん,Aunt
お風呂,bath
お弁当,Bento
覚える,learn by heart
おまわりさん,Policeman
重い,heavy
おもしろい,funny
泳ぐ,swim
降りる,get off
終る,end
音楽,music
女,woman
女の子,girl
外国,foreign country
外国人,foreigner
会社,company
階段,Stairs
買い物,shopping
買う,buy
返す,return
帰る,Return home
かかる,Be
かぎ,Key
書く,write
学生,student
かける,times
傘,umbrella
貸す,lend
風,Wind
風邪,cold
家族,family
方,direction
学校,school
カップ,cup
家庭,home
角,corner
かばん,bag
花瓶,vase
紙,paper
カメラ,camera
火曜日,Tuesday
辛い,hard
体,body
借りる,borrow
軽い,light
カレー,curry
カレンダー,calendar
川 / 河,River
かわいい,cute
漢字,Chinese characters
木,wood
黄色い,yellow
消える,disappear
聞く,listen
北,North
ギター,guitar
汚い,dirty
喫茶店,Coffee shop
切手,stamp
切符,ticket
昨日,yesterday
九,Nine
牛肉,beef
牛乳,milk
今日,today
教室,classroom
兄弟,Brother
去年,last year
嫌い,dislike
切る,Cut off
着る,Wear
きれい,beautiful
銀行,Bank